"Field Name","Description of Contents"
"Pilotage – Compulsory [pilotage_c]","The necessity or availability of taking a pilot is given. In some cases, pilots are not actually stationed at the port in question and must be obtained elsewhere. Values are Yes, No, or Unknown."
"Pilotage – Available [pilotage_a]","The necessity or availability of taking a pilot is given. In some cases, pilotage may be compulsory, although pilots are not actually stationed at the port in question and must be obtained elsewhere. Values are Yes, No, or Unknown."
"Pilotage - Local Assistance [pilotage_l]","The availability of local assistance, as opposed to official pilotage, is given. Values are Yes, No, or Unknown."
"Pilotage – Advisable [pilotage_1]","The necessity or availability of taking a pilot, even though not compulsory, is given. In some cases, pilotage may be compulsory, although pilots are not actually stationed at the port in question and must be obtained elsewhere. Values are Yes, No, or Unknown."
"Tugs – Salvage [tugs_salva]","Indicates whether tugs are available for salvage assistance. Values are Yes, No, or Unknown."
"Tugs – Assistance [tugs_assis]","Indicates whether tugs are available for docking or anchorage assistance. Values are Yes, No, or Unknown."
"Communications – Telephone [com_teleph]","Indicates whether telephone communications are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Communications – Telefax [com_telefa]","Indicates whether telefax communications are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Communications – Radio [com_radio]","Indicates whether radio communications are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Communications – Radiotelephone [com_radiot]","Indicates whether radiotelephone communications are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Communications – Airport [com_air]","Indicates whether airport communications are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Communications – Rail [com_rail]","Indicates whether rail communications are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Search and Rescue [search_and]","Indicates whether there are Search and Rescue facilities in the port or nearby area. Values are Yes, No, or Unknown."
"NAVAREA [navarea]","The corresponding NAVAREA, as defined in relevant IMO and IHO documentation, is given."
"Facilities – Wharves [fac_wharve]","Indicates whether wharf facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities – Anchorage [fac_anchor]","Indicates whether anchorage facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Dangerous Cargo Anchorage [fac_dangca]","Indicates whether dangerous cargo anchorage facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Med Mooring [fac_medmoo]","Indicates whether med mooring facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Beach Mooring [fac_beachm]","Indicates whether beach mooring facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Ice Mooring [fac_icemoo]","Indicates whether ice mooring facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities – RoRo [fac_roro]","Indicates whether ro-ro facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Solid Bulk [fac_solidb]","Indicates whether solid bulk facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Liquid Bulk [fac_liquid]","Indicates whether liquid bulk facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities – Container [fac_contai]","Indicates whether container facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities – Breakbulk [fac_breakb]","Indicates whether breakbulk facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - Oil Terminal [fac_oilter]","Indicates whether oil terminal facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities - LNG Terminal [fac_lngter]","Indicates whether LNG terminal facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Facilities – Other [fac_other]","Indicates whether other facilities are available in the port and/or nearby area. Values are Yes, No, or Unknown."
"Medical Facilities [med_facili]","Indicates that there are some form of medical facilities in the port that will accommodate seamen. Values are Yes, No, or Unknown."
"Garbage Disposal [garbage_di]","Indicates whether garbage can be disposed of at the pier or by lighters at the anchorage or mooring. Values are Yes, No, or Unknown."
"Chemical Holding Tank Disposal [cht]","Indicates whether Chemical Holding Tanks (black water) can be discharged at the pier or at the anchorage. Values are Yes, No, or Unknown."
"Degaussing [degauss]","Indicates whether degaussing facilities are available. Values are Yes, No, or Unknown."
"Dirty Ballast Disposal [dirty_ball]","Pertains to a port that has sufficient facilities for receiving oily and/or chemically contaminated dirty ballast. Values are Yes, No, or Unknown."
"Cranes – Fixed [crane_fixe]","Indicates whether fixed cranes are available. Values are Yes, No, or Unknown."
"Cranes – Mobile [crane_mobi]","Indicates whether mobile cranes are available. Values are Yes, No, or Unknown."
"Cranes – Floating [crane_floa]","Indicates whether floating cranes are available. Values are Yes, No, or Unknown."
"Cranes – Container [cranes_con]","Indicates whether container cranes are available. Values are Yes, No, or Unknown."
"Lifts - 100+ Tons [lifts_100_]","Indicates the lifting power in tons of the available cranes. Values are Yes, No, or Unknown."
"Lifts - 50-100 Tons [lifts_50_1]","Indicates the lifting power in tons of the available cranes. Values are Yes, No, or Unknown."
"Lifts - 25-49 Tons [lifts_25_4]","Indicates the lifting power in tons of the available cranes. Values are Yes, No, or Unknown."
"Lifts - 0-24 Tons [lifts_0_24]","Indicates the lifting power in tons of the available cranes. Values are Yes, No, or Unknown."
"Services – Longshoremen [serv_longs]","Indicates whether longshoremen services are available. Values are Yes, No, or Unknown."
"Services – Electricity [serv_elect]","Indicates whether electricity services are available. Values are Yes, No, or Unknown."
"Services – Steam [serv_steam]","Indicates whether steam services are available. Values are Yes, No, or Unknown."
"Services - Navigation Equipment [serv_naveq]","Indicates whether navigation equipment services are available. Values are Yes, No, or Unknown."
"Services - Electrical Repair [serv_ele_1]","Indicates whether electrical repair services are available. Values are Yes, No, or Unknown."
"Services - Ice Breaking [serv_icebr]","Indicates whether ice breaking services are available. Values are Yes, No, or Unknown."
"Services – Diving [serv_divin]","Indicates whether diving services are available. Values are Yes, No, or Unknown."
"Supplies – Provisions [supply_pro]","The availability of provisions is listed. Values are Yes, No, or Unknown."
"Supplies - Potable Water [supply_h2o]","The availability of water is listed. Values are Yes, No, or Unknown."
"Supplies - Fuel Oil [supply_fue]","The availability of fuel oil is listed. Fuel and oil types are listed separately, but in cases of original source information failing to distinguish between the two, both kinds are presumed to be available and are so listed. Values are Yes, No, or Unknown."
"Supplies - Diesel Oil [supply_die]","The availability of diesel oil is listed. Fuel and oil types are listed separately, but in cases of original source information failing to distinguish between the two, both kinds are presumed to be available and are so listed. Values are Yes, No, or Unknown."
"Supplies - Aviation Fuel [supply_avi]","The availability of aviation fuel is listed. Values are Yes, No, or Unknown."
"Supplies - Deck [supply_dec]","The availability of deck supplies is listed. Values are Yes, No, or Unknown."
"Supplies - Engine [supply_eng]","The availability of engine supplies is listed. Values are Yes, No, or Unknown."
"Repairs [repair_cod]","Repairs that can be made to ocean-going vessels are classified as Major (extensive overhauling and rebuilding in well equipped shipyards), Moderate (extensive overhauling and rebuilding that does not require drydocking, or where suitable facilities are lacking or inadequate), Limited (small repair work in independent machine shops or foundries), Emergency Only, None, or Unknown."
"Dry Dock [dry_dock]","The general size and type of the largest underwater repair facilities in the port are Small (up to 200 meters), Medium (201 - 300 meters), or Large (301 meters and over)."
"Railway [railway]","The general size and type of the largest underwater repair facilities in the port are Small (up to 200 tons), Medium (201 - 1000 tons), or Large (over 1000 tons)."
"Latitude [Latitude]","Latitude of the port is given."
"Longitude [Longitude]","Longitude of the port is given."
